18,0,i had numerous problem with this film
72,1,dear god i do not know where to start why this movie sucked too much
111,1,i was pretty disappointed
116,10,"if you are tempted to watch this movie, rip your eyeball out and flush them down the toilet"
205,6,"the music there was was annoying, and boring"
232,0,someone must have been seriously joking when they made this film
246,7,"ugly then, uglier now"
294,0,this film is predictable
306,19,"even the supporting male character are all ""bad"""
357,0,"trust me, this is one let down movie that you want to avoid and this comes from one huge denzel washington fan"
455,12,"no twist or turn will make this a more interesting train wreck, or any different from any of the other"
608,0,"this is the type of movie where it actually hurts to acknowledge that it really, really suck"
650,2,goldie's gotta be a contender for an actress who's done so much in her career with very little quality material at her disposal
769,8,it came to an end without reaching a conclusion
774,3,a perfect being makes for dull story telling
823,0,"i have to say this is an awful movie, for the mere fact that when you see this movie on the guide, it is listed as a documentary"
945,21,it is not worth a pie that you pay for the ticket
1010,2,"and, as a result it does not really go anywhere"
1024,23,everything about this film sucks
1033,0,i could only get through about 25 min of it
1158,9,"also, one long section of dialog is in spanish with no subs (they are an option, but only when you listen to the french track)."
1243,7,"the remaining hour and 45 minute was a formless, rambling mess that was neither realistic nor fantastic enough to be interesting."
1275,1,the acting is abysmal and completely forced
1282,4,"but i feel that the problem with the film is that ""mood"" is not enough... and not only that, but that the mood painted here is, to my mind, incorrectly chosen for the story that is supposedly happening."
1344,4,"but all in all, an awkward display of british music circa 1964"
1396,13,it is like the director/writer watched a lot of sci-fi film and threw all the part he liked into a blender and came up with this
1411,40,its poor box office performance may inhibit better dramas from being distributed nationally.
1464,3,"the quality of demille's direction is very low, and he does not show any particular skill that is unique to him"
1503,5,"those who have not read the book might enjoy the movie, but as a huge tom robbin fan, this movie was nothing but a disappointment"
1583,0,"oh my, i think this may be the single cheesiest movie i have ever seen"
1592,16,"i think, though, for the most part, the humor falls a bit flat"
1596,6,"there is a lot of sax on the soundtrack, which is just painful"
1701,10,"it is a rusty version of the pare not trap and you should avoid it, or at least ensure your tetanus shot are up to date if you do not believe me."
1751,8,"the story is weak, the acting is weaker and the new zealand/american accent just do not work"
1778,3,"then i went and saw it, i was sunk down in my seat almost asleep until i remembered that i had paid for this movie"
1784,4,this is the worst time travel movie i have ever seen and i have seen timeline
1815,1,"i can recall no film that has tried so hard to be so unrelentingly outrageous, provocative and important, yet failed so consistently across the board."
1830,0,"certainly there is very little logic to this movie, but so are most of the sci-fi vampire flick"
1834,0,the viewer seems like a 3 hrs sleep watching this filmok they had 6 story so it was necessary but why?
1841,4,do not waste your time on this film!
1894,2,and the special effect are silly enough to do more damage to that tension.
1906,0,"this film is hardly good, not great at all."
